OIS_ID,BYG_ANVEND,KoorNord,KoorOest
4394585,120,6226370.65,606539.11
538427,220,6243558.85,585287.04
538428,220,6243557.35,585286.18
3232432,220,6243801.33,584787.86
517713,220,6250206,587305.38
537115,220,6249162.72,581437.27
2660273,220,6244631.7,576045.27
538421,120,6244599.67,585178.58
538523,120,6244556.6,585156.52
3804681,120,6244536.78,585251.9
3232104,120,6244650.89,585271.58
4378417,120,6244671.74,584909.09
537773,120,6244648.42,584937.15
2091604,120,6244731.9,584884.88
538726,120,6245023.07,584996.3
3232156,120,6244298.3,585076.44
3804737,120,6244290.79,585099.24
536634,120,6241638.5,581166.38
2091491,120,6244336.77,584946.04
536815,120,6244440.9,585147.06
3232057,120,6244831.09,585006.4
2659576,120,6244590.15,585224.48
1607088,120,6241299.72,587363.92
2870752,120,6240957.08,587368.65
2091795,120,6244421.29,585086.65
2659984,120,6244664.47,584916.15
2091870,120,6244724.06,585014.83
3232102,120,6244618.49,585267.19
1344274,120,6244844.73,584983.79
3232666,120,6244166.2,585028.91
2091493,120,6244203.51,585026.91
538288,120,6244025.14,584970.83
537404,120,6244256.56,585033.36
537406,120,6244238.53,585029.68
538293,120,6244068.89,584954.59
538290,120,6244115.84,584956.58
2660187,120,6244055.1,585015.35
3232669,120,6244030.23,585017.61
1549298,120,6243649.38,584847.88
2097900,0,0,0
2097897,0,0,0
2097582,0,0,0
2097567,0,0,0
2097887,0,0,0
2097890,0,0,0
2097580,0,0,0
2097581,0,0,0
2097579,0,0,0
2097574,0,0,0
2097570,0,0,0
2097566,0,0,0
2097896,0,0,0
2097569,0,0,0
2097889,0,0,0
2097565,0,0,0
2097895,0,0,0
2097893,0,0,0
2097575,0,0,0
2097578,0,0,0
2097885,0,0,0
1743056,0,0,0
1468642,0,0,0
1468645,0,0,0
1468646,0,0,0
1468647,0,0,0
2106363,0,0,0
3804606,920,6241955.88,581600.82
3232391,920,6242504.99,581606.45
519726,920,6252632.54,597215.6
1259309,920,6252445.44,597047.01
519415,920,6252697.7,596478.76
519407,920,6252699.7,596478.76
1590230,930,6242176.62,581747.18
537238,930,6249751.17,576918.02
1802108,930,6249557.23,597870.25
547621,920,6240694.99,591663.99
3801447,920,6240484.35,591606.75
4375639,920,6240098.5,591463.11
536646,910,6241585.94,581229.23
546000,930,6246788.88,589517.34
546621,930,6247365.41,589667.22
2383930,930,6245912.22,576422.52
2097729,930,6249670.93,591526.59
538793,920,6242258.44,580952.4
2877508,920,6242472.39,580840.3
2656631,920,6240346.22,591299.3
1270717,920,6250282.96,592600.05
519575,920,6249940.3,592593.05
3810844,920,6250048.23,592965.76
2415944,920,6250350.54,592988.87
2098018,920,6249730.92,592887.63
2372586,920,6249855.2,592339.9
518281,920,6249686.63,592903.48
519288,920,6249591.73,592350.58
3801480,920,6245870.75,589649.93
485014,920,6232704.97,603124.09
2088555,920,6240930.42,587031.02
547870,920,6241311.73,587335.56
548129,920,6241193.16,587069.49
4375498,920,6241070.2,587400.06
517873,320,6247167.27,597685.58
2098121,320,6247522.87,598213.1
3562141,920,6246819.79,598020.63
547841,920,6238979.19,598168.81
547843,920,6238977.67,598200.7
3232135,920,6243523.25,586510.2
2656575,920,6244666.69,590453.72
3232360,920,6244620.69,579121.55
3238967,920,6250611.2,587234.91
4375209,920,6238933.25,598045.16
539109,920,6242747.55,582088.7
2088217,920,6244721.86,590442.53
4373549,320,6240610.08,590966.07
2098390,930,6250340.84,596119.82
3803538,920,6250369.31,586811.32
2666505,920,6250297,587603.07
3811016,920,6250478.32,587581.55
517536,920,6250331.19,591373.07
